These SEM2 and YEAR courses were OPEN at the start of the day on,,,,,Tue SEP 2,,,
CER202,Cer 2: Wheel,,2,.D12,HEA101,H&W: Freshman Sem,y,.C1
CER202,Cer 2: Wheel,,2,.F13,HEA101,H&W: Freshman Sem,y,.E1
CER302,Cer 3: Wheel,,2,.D12,HEA101,H&W: Freshman Sem,y,.A2
CER302,Cer 3: Wheel,,2,.F13,HEA101,H&W: Freshman Sem,y,.F2
DRA101,Drawing 1,,2,.A13,HEA101,H&W: Freshman Sem,y,.G3
DRA201,Drawing 2,,2,.B13,HEA201,H&W: Sophomore Sem,2,.H1
DRA201,Drawing 2,,2,.C23,HEA201,H&W: Sophomore Sem,2,.E2
DRA301,Drawing 3,,2,.B13,HEA301,H&W: Junior Sem,2,.C1
DRA301,Drawing 3,,2,.C23,HEA301,H&W: Junior Sem,2,.E1
FIB102,Fiber Arts: Pattern,,2,.F13,HEA301,H&W: Junior Sem,2,.B2
FIL101,Filmmaking 1,,2,.C23,HEA301,H&W: Junior Sem,2,.A2
FIL101,Filmmaking 1,,2,.E23,HEA301,H&W: Junior Sem,2,.F2
These SEM2 and YEAR courses were OPEN at the start of the day on,,,,,Tue SEP 2,,,
Type:,"2 = sem2,",y = year,(dance seasons:,"w = winter,",s = spring).,,,
Block:,A = all three periods in A block.,,"A13 = A1 and A3, not A2",,"(""A one three"").",,,
,AS = After School (after 2:55).,,TBA = To Be Arranged.,,,,,
number,title,,type,block,number,title,type,block
HEA301,H&W: Junior Sem,,2,.D3,,,,
HEA301,H&W: Junior Sem,,2,.G3,,,,
